NAMES                                       IMAGE                                        STATUS
backend-nocg0cc4o4wowwco4sg4kkg0            infisical/infisical:v0.154.6                 Up 21 minutes (healthy)
db-nocg0cc4o4wowwco4sg4kkg0                 postgres:14-alpine                           Up 21 minutes (healthy)
redis-nocg0cc4o4wowwco4sg4kkg0              redis:7                                      Up 21 minutes (healthy)
coolify-sentinel                            ghcr.io/coollabsio/sentinel:0.0.18           Up 23 minutes (healthy)
coolify-proxy                               traefik:v3.6                                 Up 32 minutes (healthy)
authentik-worker-hwgk4gs8so4g0cs408kwoc0o   ghcr.io/goauthentik/server:2025.2.1          Up About an hour (healthy)
authentik-server-hwgk4gs8so4g0cs408kwoc0o   ghcr.io/goauthentik/server:2025.2.1          Up About an hour (healthy)
postgresql-hwgk4gs8so4g0cs408kwoc0o         postgres:16-alpine                           Up About an hour (healthy)
redis-hwgk4gs8so4g0cs408kwoc0o              redis:alpine                                 Up About an hour (healthy)
typebot-builder-v4o0wss4kg4w0gwsk00wc444    baptistearno/typebot-builder:latest          Up 2 hours
typebot-viewer-v4o0wss4kg4w0gwsk00wc444     baptistearno/typebot-viewer:latest           Up 2 hours
typebot-db-v4o0wss4kg4w0gwsk00wc444         postgres:16-alpine                           Up 2 hours (healthy)
docuseal-y884s4ck840owc8kckcckwsg           docuseal/docuseal:latest                     Up 4 hours (healthy)
listmonk-v4cgk8ck8kgw44ok004s8g8s           listmonk/listmonk:latest                     Up 4 hours (healthy)
listmonk-db-v4cgk8ck8kgw44ok004s8g8s        postgres:16-alpine                           Up 4 hours (healthy)
calcom-kg00okog4ooskkock4osggc4             calcom.docker.scarf.sh/calcom/cal.com        Up 4 hours (healthy)
postgresql-kg00okog4ooskkock4osggc4         postgres:16-alpine                           Up 4 hours (healthy)
crawl4ai-ugcks0c0s88ccgscocsgo8o8           unclecode/crawl4ai:latest                    Up 4 hours (healthy)
postiz-fkoggggo8k84ookk8coog8oc             ghcr.io/gitroomhq/postiz-app:v2.10.1         Up 5 hours (healthy)
redis-fkoggggo8k84ookk8coog8oc              redis:7.2                                    Up 5 hours (healthy)
postgres-fkoggggo8k84ookk8coog8oc           postgres:14.5                                Up 5 hours (healthy)
portainer-h8gs44ck0kkwwws0w04c8oc4          portainer/portainer-ce:alpine                Up 7 hours (healthy)
task-runners-kgwgwgk4co4g4gcgsgw0gwgw       n8nio/runners:2.1.5                          Up 7 hours (unhealthy)
n8n-kgwgwgk4co4g4gcgsgw0gwgw                n8nio/n8n:2.1.5                              Up 7 hours (healthy)
uptime-kuma-a080c4gg8ssww4wc044o8s4o        louislam/uptime-kuma:2                       Up 12 hours (healthy)
coolify                                     ghcr.io/coollabsio/coolify:4.0.0-beta.463    Up 29 hours (healthy)
coolify-db                                  postgres:15-alpine                           Up 33 hours (healthy)
coolify-redis                               redis:7-alpine                               Up 33 hours (healthy)
coolify-realtime                            ghcr.io/coollabsio/coolify-realtime:1.0.10   Up 33 hours (healthy)
